Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
Other Private Debt,A,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Other Private Debt,B,far,257,201,138,106,1.0,0.9612440964375768,1.055870431288136,1.0,0.012719333205655015,0.0,0.7529275852051298,0.013649699896349511,0.05576523780518783,0.8531451643609684,0.012885486879963548
Other Private Debt,B,final,4,4,0,0,1.0,1.0,1.0,1.0,0.0,0.13196014187297297,,,,,
Other Private Debt,B,late,6,6,1,0,1.0,1.0,1.0,1.0,0.0,0.295527394,0.009537926662638752,1.0,0.08324742302688293,1.0,1.0
Other Private Debt,B,mid,62,62,42,3,1.0,1.045207901946835,0.9384512228868218,1.0,-0.013480855431935604,0.0,0.9449969281467472,0.006285142563064948,4.9562855799489824e-06,1.0,3.3395384342655323e-09
Other Private Debt,B,post_0_4,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,,,,,
Other Private Debt,B,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Other Private Debt,B,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Other Private Debt,B,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Other Private Debt,C,far,216,164,88,101,1.0,0.9696713884834384,1.05006881761731,1.0,0.01722949392747335,0.0,0.12289824075812339,0.03319456155177329,0.039273800143366566,0.14992278081916718,2.7867743202878806e-05
Other Private Debt,C,final,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.4482648556,0.21072117039363003,1.0,0.43562653997560474,1.0,1.0
Other Private Debt,C,late,17,17,10,6,1.0,1.0,1.0,1.0,0.0,0.4482648556,0.8472244521061127,0.17064496223494427,0.8323941304056048,1.0,0.000755580083283024
Other Private Debt,C,mid,91,91,69,16,1.0244628587941962,1.0,0.945315850464902,0.9832916794119467,-0.015388994587976703,0.0,0.011242651868798692,0.2314385161208977,0.00029202472005152025,8.744842226348362e-11,9.676031331763393e-11
Other Private Debt,C,post_0_4,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,,,,,
Other Private Debt,C,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Other Private Debt,C,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Other Private Debt,C,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Other Private Debt,D,far,84,75,61,22,1.0,0.9830720728378795,1.0,1.0,0.0,0.0,0.8476779755682267,0.02923404424142963,0.4067723307966338,0.6422546867513251,0.19340008333831216
