quarter_end,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_rc_mean,sim_draw_p10,sim_draw_p50,sim_draw_p90,sim_rep_p10,sim_rep_p50,sim_rep_p90,sim_nav_p10,sim_nav_p50,sim_nav_p90,sim_rc_p10,sim_rc_p50,sim_rc_p90,sim_dpi_p05,sim_dpi_p50,sim_dpi_p95
2034-09-30,4960405.115560117,373121056.7531613,6062558695.944291,17359106.222239368,0.0,1676777.2442097857,14360694.453715565,90793328.17840537,316352281.3850869,738120247.8290648,4900626018.124121,5952529972.727657,7368322308.219619,0.0,361970.04081457015,44070531.16661052,0.4935744609153837,0.6817188260735374,0.8840868491808895
2034-12-31,5001222.535810164,397903370.54935884,5760594989.961965,17816142.49587328,0.0,1516663.4883530007,13801236.215037944,98290391.27462235,324209681.3073057,792707110.6442786,4560675288.499966,5652324827.591652,7112439233.224408,0.0,121847.49949086172,46293528.54186307,0.5556145675198835,0.7541381605511055,0.976748446458653
2035-03-31,4543788.749941346,375906417.8074386,5456525400.931751,17758897.72717773,0.0,1135833.650958538,13723944.44942239,91015582.79366785,299640567.44977903,766597833.6647861,4272357914.406919,5378543590.521499,6787859991.33815,0.0,79902.03823278932,36165131.74514318,0.618481546743689,0.8158338652055264,1.045491114020618
2035-06-30,4983515.163605705,356768155.5781562,5165869896.057346,18983498.404925574,0.0,1119289.5925036892,14401490.090466077,88475762.90944676,286789153.7817714,729060528.6900969,4024251471.8542337,5076027139.424309,6430396079.135959,0.0,140122.18100721706,45665906.638295755,0.6663415593397976,0.8786451507301095,1.1139728200464596
2035-09-30,4590509.968679476,342479861.9412954,4873284519.320945,16465176.892632259,0.0,1175648.4107178287,12230893.210044045,73452998.02931824,275214619.7618723,680475506.9139273,3732534040.6776195,4795432416.26313,6122739127.558402,0.0,187294.5039035459,33334681.92334299,0.7216796180471319,0.935927365825142,1.196298410516491
2035-12-31,4116310.1931541073,325888896.93901104,4593066101.340805,16425424.457735568,0.0,1178085.6050511354,11170866.303907149,81081793.04653265,265548633.73550075,621853120.3152946,3424127845.551264,4508428702.070473,5826369691.835877,0.0,117399.59596123878,35126615.40919657,0.7699091137874888,0.9912877740311904,1.2514579638777246
2036-03-31,3858281.1115859286,311667785.1585109,4329176434.732314,16949406.011619903,0.0,1087164.3516614698,9787197.773295319,77687390.5453034,257245250.30081853,621893055.1441985,3220734798.546934,4206233014.536436,5570263277.694809,0.0,39574.30082410117,38349275.83105497,0.8258892156929022,1.0454120788948476,1.3016895282543537
2036-06-30,4157972.829640624,290164945.933589,4078371351.0884004,15999917.31080859,0.0,1027995.6739832405,11670906.907430843,70190181.00156581,235663620.9450231,590696747.6925042,2953159600.8019137,3982062400.3183513,5358931771.683689,0.0,90309.72769104593,32314834.366347212,0.8667111748083964,1.0973476457713867,1.3546483341621676
2036-09-30,3602430.5335009173,264599090.30820805,3846532313.6643653,12323119.137202814,0.0,1222415.5535949552,9163279.365888024,59264231.61365122,212401882.81981385,537445724.3565607,2768323113.4654894,3750928215.210666,5064266678.706353,0.0,93474.6196696383,19869307.23139258,0.9098894788580884,1.134515011843856,1.40309119001699
2036-12-31,3368367.898030675,254892950.60480666,3612592853.023158,11918783.224458933,0.0,1038135.4104593215,8584833.769767001,57064744.799390785,187607742.10522008,551307589.6197907,2541257327.507489,3526290464.9503493,4754010753.801592,0.0,63324.17736224676,22239582.369014136,0.9479452126490823,1.1809262457880876,1.4545700864683935
