quarter_end,quarter_text,quarter_index,years_from_start,draw_q_mean,rep_q_mean,recall_q_mean,nav_mean,cum_draw_mean,cum_rep_mean,cum_recall_mean,dpi_to_date,rvpi_to_date,tvpi_to_date,nav_share_of_total_value,irr_to_date,is_final
2040-03-31,2040Q1,57,14.25,2640556.147549239,107120257.78035174,5130021.171190684,1727459235.0409298,5777677212.534146,9015768183.823648,466561033.5530095,1.5604485768545113,0.2989885331934716,1.859437110047983,0.16079518450922825,0.1138748604997123,False
2040-06-30,2040Q2,58,14.5,1820693.058604727,106804012.05458844,7823380.576991072,1571068492.2008307,5779497905.5927515,9122572195.878237,474384414.1300006,1.578436802797425,0.2718347714393194,1.8502715742367444,0.146916147458761,0.11275044050013572,False
2040-09-30,2040Q3,59,14.75,1826933.9411293613,95587218.86128221,9714387.309743466,1427032051.2973027,5781324839.533881,9218159414.73952,484098801.43974406,1.594471798523387,0.24683478111089102,1.841306579634278,0.13405414602923843,0.11170520288878005,False
2040-12-31,2040Q4,60,15.0,1694861.5068170233,80589712.16460082,4681554.149945524,1294663699.0900857,5783019701.040698,9298749126.90412,488780355.58968955,1.6079400741503163,0.2238732990754123,1.8318133732257287,0.12221403247055841,0.11068947195280032,False
2041-03-31,2041Q1,61,15.25,1228309.7334699421,72257321.51131925,5204714.036587543,1187560473.2351723,5784248010.774168,9371006448.41544,493985069.6262771,1.6200907068577126,0.20530939735349077,1.8254001042112034,0.11247364174015406,0.109930150421791,False
2041-06-30,2041Q2,62,15.5,1119445.3580080275,72199396.6155229,5673618.037655625,1073237616.772809,5785367456.132176,9443205845.030962,499658687.66393274,1.6322568819758674,0.18550898018331322,1.8177658621591808,0.10205328642433724,0.1091365263088756,False
2041-09-30,2041Q3,63,15.75,1021075.0107306958,63425917.28468512,5442919.139257865,972486908.6597798,5786388531.142907,9506631762.315647,505101606.8031906,1.6429300782603913,0.16806457143791165,1.8109946496983031,0.09280235668609503,0.1084385941427698,False
2041-12-31,2041Q4,64,16.0,982615.3965571956,58531255.477969676,5776610.050174078,878164041.5778584,5787371146.539464,9565163017.793617,510878216.85336465,1.6527647485530748,0.15173798592525956,1.8045027344783342,0.08408853199611563,0.10779850990744355,False
2042-03-31,2042Q1,65,16.25,743910.2240439294,57261050.10376266,4109987.2826583292,764396480.5389103,5788115056.763508,9622424067.89738,514988204.136023,1.6624451956347033,0.13206311088196154,1.7945083065166647,0.07359292258630465,0.10699336229078227,False
2042-06-30,2042Q2,66,16.5,703740.5050842013,51565912.129733875,4707041.036709023,661079448.2212133,5788818797.268592,9673989980.027115,519695245.172732,1.6711509409470047,0.11419936801841826,1.785350308965423,0.06396468381860289,0.10627620868780052,False
2042-09-30,2042Q3,67,16.75,248805.37421252564,42060155.76907672,2805502.965660938,569272387.8580586,5789067602.642804,9716050135.796192,522500748.1383929,1.6783445630105711,0.0983357643980831,1.7766803274086544,0.055348034692042206,0.10561963449625666,False
2042-12-31,2042Q4,68,17.0,173524.71833374246,39166194.46887093,2849151.242000849,492417323.5596912,5789241127.361138,9755216330.265062,525349899.3803938,1.6850595985991865,0.08505731800190981,1.7701169166010964,0.04805180788014459,0.10511455469715181,False
2043-03-31,2043Q1,69,17.25,0.0,33029727.187383942,3316303.903163229,401088204.69025826,5789241127.361138,9788246057.452446,528666203.28355706,1.690764962473439,0.0692816546878024,1.7600466171612417,0.03936353390431554,0.10444542485191877,False
2043-06-30,2043Q2,70,17.5,0.0,27505325.500712775,2103789.0105512114,328731791.4549959,5789241127.361138,9815751382.95316,530769992.2941083,1.6955160731795933,0.05678322671711533,1.7522992998967086,0.03240498168347296,0.10393278238048198,False
2043-09-30,2043Q3,71,17.75,0.0,23391269.124478105,1349969.8269550232,266865522.9269558,5789241127.361138,9839142652.077637,532119962.1210633,1.6995565456024686,0.0460968056185628,1.7456533512210315,0.026406620527677786,0.10350353367610665,False
2043-12-31,2043Q4,72,18.0,0.0,18942368.137635868,1957955.3193765443,217161829.85869405,5789241127.361138,9858085020.215273,534077917.4404398,1.7028285406223531,0.03751127739909516,1.7403398180214482,0.021553995955652418,0.1031658825462366,False
2044-03-31,2044Q1,73,18.25,0.0,15315401.876004908,1934700.7055539167,170136330.50127825,5789241127.361138,9873400422.091278,536012618.1459937,1.7054740344857233,0.029388364857904973,1.7348623993436283,0.016939882303647732,0.1028377893581639,False
2044-06-30,2044Q2,74,18.5,0.0,11344664.160149198,1563374.1929507286,131561331.28278671,5789241127.361138,9884745086.251427,537575992.3389444,1.707433646101576,0.022725142793068497,1.7301587888946446,0.013134715113395473,0.10256494685784079,False
2044-09-30,2044Q3,75,18.75,0.0,8691091.085598601,883734.7411493369,100608461.01019903,5789241127.361138,9893436177.337025,538459727.0800937,1.7089348948653427,0.017378523159918637,1.7263134180252613,0.01006684126906574,0.10234764755775527,False
2044-12-31,2044Q4,76,19.0,0.0,6544419.624903382,468099.34938042506,75280209.24853937,5789241127.361138,9899980596.961927,538927826.4294741,1.7100653400274852,0.01300346756896162,1.7230688075964469,0.0075466908295441166,0.10217025916861477,False
2045-03-31,2045Q1,77,19.25,0.0,5098220.782609354,657108.504793721,56113436.29644067,5789241127.361138,9905078817.744537,539584934.9342679,1.7109459771732616,0.009692710160445223,1.7206386873337067,0.0056332048278334365,0.10204052643690986,True
