scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
neutral,TTA,B,6-8y,1,2290829.451751488,761398.1018066667,49135.93290666681,0.0,1011911.3992979655,584324.2518442922,39613.634939637624,0.4,18040053.73629328,15905572.280476006,-15441809.382561445,0.4666666666666667
neutral,TTA,C,0-2y,7,8737442.564646324,5967380.750058869,259965.30551144003,0.26666666666666666,5816448.639461991,3416199.9334721696,1684873.2804736851,0.7,46945793.81024688,34110136.66754636,-31487396.185542896,0.7
neutral,TTA,C,10-15y,1,0.0,0.0,0.0,1.0,86176.86493345311,38899.76692699959,20129.80892699959,0.7,4744817.062828574,4009762.0125477267,-4006315.7078076205,0.3333333333333333
neutral,TTA,C,2-4y,2,2812854.965082635,1337225.6660048969,42249.41833333336,0.2,758113.0569319313,490628.94861356396,489021.315181786,0.7,11409325.44228262,9265924.81698816,4116473.5208419682,0.3333333333333333
neutral,TTA,C,4-6y,3,3430083.455486389,1122590.293127089,105483.23342980017,0.1,867003.5959454124,514256.7380329286,302052.06766271003,0.8,11791670.02612002,10998134.382538509,1887602.2030907432,0.5333333333333333
neutral,TTA,C,6-8y,3,1665708.0576539617,501666.6666666667,78333.33333333333,0.7333333333333333,427159.0651077802,296281.2179580192,138026.3067584302,0.6333333333333333,27514180.0516666,22891075.46449631,-21151885.939976145,0.23333333333333334
neutral,TTA,D,8-10y,2,3224602.9838855034,616891.9073542514,565890.95631733,0.8,1581496.4134639325,1100092.0784611807,333572.19616551674,0.4666666666666667,12717059.760460533,11468372.866794864,-4887566.266633598,0.16666666666666666
neutral,Venture Capital,A,0-2y,12,20561251.680792972,14507110.838400956,-3907037.518443899,0.23333333333333334,22376094.24408371,15695830.13090516,9269650.587918608,0.4666666666666667,333725453.1299811,296587123.3092451,-296587123.3092451,0.06666666666666667
neutral,Venture Capital,A,10-15y,3,5458897.119142454,1023588.0787918519,972136.6502861207,0.8,8979909.417348176,2196627.429820662,1546664.8310470888,0.4666666666666667,14464766.182655169,14172665.723129485,-14172665.723129485,0.0
neutral,Venture Capital,A,2-4y,17,25559517.382976197,16401156.57020695,269673.09543935553,0.13333333333333333,52475833.7630929,41323844.79386083,29303359.236366566,0.5333333333333333,563284474.7725412,459060282.56337637,-448230797.77417374,0.3333333333333333
neutral,Venture Capital,A,4-6y,11,11563516.19365366,3506048.2783768554,642742.9662450424,0.2,40645293.63807022,27624209.754173357,-1143105.825693437,0.7,521171510.8983669,448885373.43928325,-430658922.2366532,0.13333333333333333
neutral,Venture Capital,A,6-8y,2,3383300.3515103078,1126171.1411524506,46816.23676613444,0.7333333333333333,10305542.902813295,6096420.586293337,2584065.298806344,0.6333333333333333,28010102.282410577,23858818.8758357,-2418274.6109189657,0.9333333333333333
neutral,Venture Capital,A,8-10y,4,14864676.120547952,2984618.2820310863,2450039.1065358,0.6333333333333333,9860287.92966958,7764943.2469628295,2399148.2212856254,0.3333333333333333,66937098.21489262,58280034.01331772,2236015.2640275047,0.36666666666666664
neutral,Venture Capital,B,0-2y,30,34125797.88843381,23056211.70428482,2132807.9490929428,0.2,30884816.578747984,20013226.533238087,13795612.69918043,0.6333333333333333,458932897.13691956,410778711.99676245,-410778711.99676245,0.06666666666666667
neutral,Venture Capital,B,10-15y,5,1641578.7772411027,326590.69362354086,274228.82955641364,0.8666666666666667,13755616.002322411,9425093.228615372,3283909.1653062236,0.3,54122083.08250595,48347493.42189567,47251551.23609911,0.6333333333333333
neutral,Venture Capital,B,2-4y,18,22756159.988782506,13150797.840838764,1175384.8587528341,0.03333333333333333,26178415.758588683,20901408.30317969,13608420.392042,0.5666666666666667,494622256.8854684,409236588.6644166,-405738005.36001956,0.3333333333333333
neutral,Venture Capital,B,4-6y,10,11275110.805009553,3820696.7875502575,180082.59858165952,0.1,10663498.997377131,8102080.807542129,1634945.272080439,0.5666666666666667,213084181.10256764,179602520.43101123,-173258669.5073364,0.3333333333333333
neutral,Venture Capital,B,6-8y,7,5967441.504342111,1937695.4066749774,183146.68560613832,0.2,13131894.702241344,10145193.187264232,2437516.839170748,0.5,181760136.82168904,166257684.85786816,-163498047.59639162,0.1
neutral,Venture Capital,B,8-10y,3,846598.8772711824,302215.1259903747,-55802.25088944151,0.8333333333333334,3797981.036893925,2393987.7219566917,1526054.7934949526,0.6,8293730.42806454,7654074.959194682,-4779485.323293994,0.7666666666666667
