scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
conditional,Private Equity,C,10-15y,3,174795.97042657534,92827.24874636569,-23895.265960971774,0.4666666666666667,958986.5652120252,553524.3469996256,-215641.22221775062,0.6333333333333333,2038858.568749533,1616494.0846510967,-854667.2177195506,0.6333333333333333
conditional,Private Equity,C,2-4y,5,2298185.2157731084,1374620.7878226277,11500.791987764656,0.6666666666666666,5304405.9970065495,3000438.4978436455,-1430703.0519975354,0.4,21529962.015819132,19838994.891902007,-19838994.891902007,0.0
conditional,Private Equity,C,4-6y,3,725753.8196965889,510610.5229161004,14669.833171570084,0.5,4877836.013760526,2939319.1837579357,-445140.29872334114,0.5,24514583.417082787,19683880.01313373,-17877649.849270582,0.36666666666666664
conditional,Private Equity,C,6-8y,3,359138.634590026,247335.72791909229,81051.86693379514,0.5333333333333333,4753776.713117984,1811997.908099456,-725999.3152187472,0.7333333333333333,8074962.671440851,7572618.802230308,-6116727.538853252,0.16666666666666666
conditional,Private Equity,C,8-10y,4,675906.8705807684,408326.15640829725,307707.2520507913,0.7333333333333333,3247185.8997231605,1942305.062726974,-863021.3939850983,0.5,14218510.412117098,12918325.191680295,-12918325.191680295,0.06666666666666667
conditional,Private Equity,C,nan,12,13088846.086617133,9994571.912696572,-3582407.5904813004,0.4666666666666667,6357853.471687283,3984651.6549495286,1407934.488575228,0.8666666666666667,148683309.05773196,112536005.5626657,-69785950.05394149,0.2
conditional,Private Equity,D,10-15y,1,215421.66449319856,123134.81147681408,123134.81147681408,0.8,127378.2109947806,47360.66727510043,47360.66727510043,1.0,1697912.6278947676,1562377.7878221874,1562377.7878221874,0.0
conditional,Private Equity,D,8-10y,2,222943.95039340397,95547.19544717138,-52981.07055011727,0.6,3046369.8583899694,1480184.4215311394,-329739.5544080174,0.6666666666666666,6115328.1052268585,4695119.3638187945,1321030.8803354928,0.6
conditional,Special Structure/ FoF,B,0-2y,1,550127.3893969343,335901.4896402441,-136837.3082319454,0.6333333333333333,700934.4252172656,478283.97061345476,-318723.9909628654,0.3,14027137.233313117,12701421.623935174,-12701421.623935174,0.13333333333333333
conditional,Special Structure/ FoF,B,nan,1,1664029.7114796133,1102763.5718568566,-363861.7847004962,0.6666666666666666,472673.0129078428,161188.87352402715,59694.35382919566,0.8333333333333334,15905550.671190359,12720669.501577947,-10428568.050916618,0.5333333333333333
